Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SalePrice_Scaled,SalePrice_Normalized,SalePrice_Log,LotArea_Scaled,LotArea_Normalized,LotArea_Log,YearBuilt_Scaled,YearBuilt_Normalized,GarageArea_Scaled,GarageArea_Normalized,GarageArea_Log,OverallState,ExterState,BsmtState,YearsSinceRenovation
11,20,3,70.0,11200.0,1,2,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,1,6,6,3,0.0,5.0,5.0,1,5.0,5.0,0.0,4.0,906,0.0,0,134,1040,1,10.0,1,4,1040,0,0,1040,1,0,1,0,3,1,5.0,5,6,0,,5,1965.0,2,1,384,5.0,5.0,2,0,0,0,0,0,0,,4,4,0,2,2008,8,4,129500,-0.6973673345815802,0.31031654912251927,11.771436160121729,0.5592101034899238,0.5174847106790026,9.323669057283185,-0.228997407181726,0.6484375,-0.41223178386410153,0.3646723646723647,5.950642552587727,5.0,5.0,183.2,59
12,60,3,85.0,11924.0,1,2,0,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,1,14,15,2,286.0,10.0,5.0,2,10.0,5.0,0.0,10.0,998,0.0,0,177,1175,1,10.0,1,4,1182,1142,0,2324,1,0,3,0,4,1,10.0,11,6,2,7.5,3,2005.0,0,3,736,5.0,5.0,2,147,21,0,0,0,0,,4,4,0,7,2006,6,5,163000,-0.1161163866021556,0.42020665901262916,12.0015054797889,0.7800769352072824,0.5553290470963358,9.386308454797962,1.119132489936493,0.9609375,1.2997210109919712,0.6989553656220323,6.601230118728877,7.0,7.5,202.6,18
13,20,3,69.0,12968.0,1,2,1,3,0,4,0,19,2,2,0,2,5,6,1962,1962,3,1,6,10,3,0.0,5.0,5.0,1,5.0,5.0,0.0,8.0,737,0.0,0,175,912,1,5.0,1,4,912,0,0,912,1,0,1,0,2,1,5.0,4,6,0,,5,1962.0,2,1,352,5.0,5.0,2,140,0,0,0,176,0,,4,4,0,9,2008,8,4,144000,-0.44578110336660537,0.3578809250451041,11.877568578558138,1.098564466026236,0.609900162040667,9.470240063415512,-0.33010714946559244,0.625,-0.5678638561237445,0.3342830009496676,5.863631175598097,5.5,5.0,149.4,62
14,20,3,91.0,10652.0,1,2,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,1,12,13,2,306.0,7.5,5.0,2,7.5,5.0,6.66,0.0,0,0.0,0,1494,1494,1,10.0,1,4,1494,0,0,1494,0,0,2,0,3,1,7.5,7,6,1,7.5,1,2006.0,1,3,840,5.0,5.0,2,160,33,0,0,0,0,,4,4,0,8,2007,6,5,279500,1.905248850400918,0.8023618172871905,12.540757571577291,0.3920346562784424,0.4888401024515185,9.273502946933823,1.1528357373644484,0.96875,1.8055252458358109,0.7977207977207977,6.733401891837359,6.0,6.25,3.832,17
15,20,3,69.0,10920.0,1,2,0,3,0,0,0,12,2,2,0,2,6,5,1960,1960,3,1,8,8,1,212.0,5.0,5.0,1,5.0,5.0,0.0,6.0,733,0.0,0,520,1253,1,5.0,1,4,1253,0,0,1253,1,0,1,1,2,1,5.0,5,6,1,2.5,1,1960.0,1,1,352,5.0,5.0,2,0,213,176,0,0,0,,1,4,0,5,2008,8,4,157000,-0.22022103400145554,0.40052484828604235,11.964001084330445,0.4737919917760282,0.5028487794678793,9.298351249298896,-0.3975136443215034,0.609375,-0.5678638561237445,0.3342830009496676,5.863631175598097,5.5,5.0,148.6,64
16,45,4,51.0,6120.0,1,2,3,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,1,13,14,3,0.0,5.0,5.0,0,5.0,5.0,0.0,0.0,0,0.0,0,832,832,1,10.0,1,0,854,0,0,854,0,0,1,0,2,1,5.0,5,6,0,,5,1991.0,2,2,576,5.0,5.0,2,48,112,0,0,0,0,,0,4,0,7,2007,8,4,132000,-0.6539903981652052,0.3185173035919304,11.790557201568507,-0.9905184947478963,0.2519471015629084,8.719317375506371,-1.4423143145881232,0.3671875,0.5215606496937564,0.5470085470085471,6.3561076606958915,7.5,5.0,2.0,23
17,20,3,69.0,11241.0,1,2,0,3,0,1,0,12,2,2,0,2,6,7,1970,1970,1,1,13,14,1,180.0,5.0,5.0,1,5.0,5.0,0.0,8.0,578,0.0,0,426,1004,1,10.0,1,4,1004,0,0,1004,1,0,1,0,2,1,5.0,5,6,1,5.0,1,1970.0,0,2,480,5.0,5.0,2,0,0,0,0,0,0,,4,2,700,3,2010,8,4,149000,-0.35902723053385543,0.3742824339839265,11.911701584927597,0.5717177555623156,0.5196278291777743,9.327323087461798,-0.06048117004194865,0.6875,0.05466443291482741,0.45584045584045585,6.173786103901937,6.5,5.0,117.6,54
18,90,3,72.0,10791.0,1,2,3,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,1,8,8,3,0.0,5.0,5.0,3,5.0,5.0,0.0,0.0,0,0.0,0,0,0,1,5.0,1,4,1296,0,0,1296,0,0,2,0,2,2,5.0,6,6,0,,4,1967.0,2,2,516,5.0,5.0,2,0,0,0,0,0,0,,4,2,500,10,2006,8,4,90000,-1.3827229299603048,0.1807446285058225,11.407564949312402,0.4344386474506977,0.49610579687418327,9.286467732363734,-0.16159091232581507,0.6640625,0.22975051420692574,0.49002849002849,6.246106765481563,4.5,5.0,2.0,57
19,20,3,66.0,13695.0,1,2,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,3,0.0,5.0,5.0,2,5.0,5.0,0.0,10.0,646,0.0,0,468,1114,1,10.0,1,4,1114,0,0,1114,1,0,1,1,3,1,7.5,6,6,0,,5,2004.0,2,2,576,5.0,5.0,2,0,102,0,0,0,0,,4,4,0,6,2008,8,4,159000,-0.18551948486835557,0.40708545186157125,11.976659481202368,1.3203464917976722,0.6479013120066907,9.524786081697178,1.0854292425085375,0.953125,0.5215606496937564,0.5470085470085471,6.3561076606958915,5.0,5.0,131.2,20
20,20,3,70.0,7560.0,1,2,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,3,0.0,5.0,5.0,1,5.0,5.0,0.0,2.0,504,0.0,0,525,1029,1,5.0,1,4,1339,0,0,1339,0,0,1,0,3,1,5.0,6,2,0,,1,1958.0,2,1,294,5.0,5.0,2,0,0,0,0,0,0,,2,4,0,5,2009,0,0,139000,-0.5325349761993553,0.34147941610628174,11.842229212112828,-0.5512253487907189,0.32721760493439966,8.930626469173578,-0.4649201391774143,0.59375,-0.8499469870943474,0.2792022792022792,5.683579767338681,5.5,5.0,102.8,59
21,60,3,101.0,14215.0,1,2,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,1,380.0,7.5,5.0,2,10.0,5.0,6.66,0.0,0,0.0,0,1158,1158,1,10.0,1,4,1158,1218,0,2376,0,0,3,1,4,1,7.5,9,6,1,7.5,3,2005.0,1,3,853,5.0,5.0,2,240,154,0,0,0,0,,4,4,0,11,2006,6,5,325300,2.6999143255489075,0.9525996391668035,12.692503112461443,1.478980127837764,0.6750823271130625,9.5620530240851,1.119132489936493,0.9609375,1.8687507751912908,0.8100664767331435,6.748759547491679,6.5,6.25,4.332,18
22,45,4,57.0,7449.0,1,0,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,13,14,3,0.0,5.0,5.0,2,5.0,5.0,0.0,0.0,0,0.0,0,637,637,1,10.0,1,1,1108,0,0,1108,0,0,1,0,3,1,7.5,6,6,1,7.5,1,1930.0,2,1,280,5.0,5.0,0,0,0,205,0,0,0,,0,4,0,6,2007,8,4,139400,-0.5255946663727353,0.3427915368213875,11.845102777308561,-0.5850875287915847,0.3214155036328472,8.915835074176277,-1.4086110671601677,0.375,-0.9180360187079412,0.26590693257359926,5.634789603169249,7.0,5.0,2.0,74
23,20,3,75.0,9742.0,1,2,3,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,1,12,13,1,281.0,7.5,5.0,2,7.5,5.0,0.0,0.0,0,0.0,0,1777,1777,1,10.0,1,4,1795,0,0,1795,0,0,2,0,3,1,7.5,7,6,1,7.5,1,2002.0,1,2,534,5.0,5.0,2,171,159,0,0,0,0,,4,4,0,9,2008,8,4,230000,1.0463855093566936,0.639986878792849,12.345834587905333,0.11442579320828174,0.4412733260153678,9.184201714366488,1.0180227476526265,0.9375,0.31729355485297495,0.5071225071225072,6.280395838960195,6.5,6.25,2.5,22
24,120,4,44.0,4224.0,1,2,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,3,0.0,5.0,5.0,2,7.5,5.0,0.0,10.0,840,0.0,0,200,1040,1,5.0,1,4,1060,0,0,1060,1,0,1,0,3,1,5.0,6,6,1,5.0,1,1976.0,2,2,572,5.0,5.0,2,100,110,0,0,0,0,,4,4,0,6,2007,8,4,129900,-0.6904270247549602,0.31162866983762505,11.77452020265869,-1.5689211369248466,0.1528409387904448,8.348537825386098,0.1417383145257842,0.734375,0.502106640661301,0.54320987654321,6.349138991379798,6.0,5.0,170.5,48
25,20,3,69.0,8246.0,1,2,0,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,1,9,10,3,0.0,5.0,7.5,1,5.0,5.0,3.33,4.0,188,8.0,668,204,1060,1,10.0,1,4,1060,0,0,1060,1,0,1,0,3,1,7.5,6,6,1,5.0,1,1968.0,2,1,270,5.0,5.0,2,406,90,0,0,0,0,,2,4,0,5,2010,8,4,154000,-0.2722733577011055,0.39068394292274883,11.944707881395766,-0.3419509750916747,0.3630756364016518,9.017483513266844,-0.1278876648978596,0.671875,-0.9666710412890797,0.25641025641025644,5.598421958998375,6.5,6.25,173.866,23
26,20,3,110.0,14230.0,1,2,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,1,12,13,2,640.0,7.5,5.0,2,7.5,5.0,0.0,0.0,0,0.0,0,1566,1566,1,10.0,1,4,1600,0,0,1600,0,0,2,0,3,1,7.5,7,6,1,7.5,1,2007.0,1,3,890,5.0,5.0,2,0,56,0,0,0,0,,4,4,0,7,2009,8,4,256300,1.5027108804569582,0.7262588158110547,12.454103912352162,1.483556098108151,0.6758663948565156,9.563107691083898,1.186538984792404,0.9765625,2.048700358741503,0.845204178537512,6.7912214627261855,6.5,6.25,2.5,17
27,20,3,60.0,7200.0,1,2,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,3,0.0,5.0,5.0,1,5.0,5.0,3.33,6.0,234,4.0,486,180,900,1,5.0,1,4,900,0,0,900,0,1,1,0,3,1,7.5,5,6,0,,5,2005.0,2,2,576,5.0,5.0,2,222,32,0,0,0,0,,4,4,0,5,2010,8,4,134800,-0.6054082293788653,0.32770214859767094,11.811547477460344,-0.6610486352800132,0.30839997909152683,8.881836305004146,-0.7008428711731026,0.5390625,0.5215606496937564,0.5470085470085471,6.3561076606958915,6.0,5.0,146.666,24
28,20,3,98.0,11478.0,1,2,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,2,200.0,7.5,5.0,2,10.0,5.0,0.0,10.0,1218,0.0,0,486,1704,1,10.0,1,4,1704,0,0,1704,1,0,2,0,3,1,7.5,7,6,1,7.5,1,2008.0,1,3,772,5.0,5.0,2,0,50,0,0,0,0,,4,4,0,5,2010,8,4,306000,2.3650443764144926,0.8892898146629491,12.631340380934517,0.6440180858344344,0.5320160995243322,9.348187438668308,1.186538984792404,0.9765625,1.4748070922840695,0.7331433998100665,6.648984550024776,6.5,6.25,246.6,16
29,20,3,47.0,16321.0,1,2,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,1,8,8,3,0.0,5.0,5.0,1,5.0,5.0,10.0,6.0,1277,0.0,0,207,1484,1,5.0,1,4,1600,0,0,1600,1,0,1,0,2,1,5.0,6,6,2,7.5,1,1957.0,1,1,319,5.0,5.0,2,288,258,0,0,0,0,,4,4,0,12,2006,8,4,207500,0.6559930816093189,0.5661800885681483,12.24288661865289,2.1214463538001356,0.7851654382938685,9.700207901150696,-0.4986233866053698,0.5859375,-0.7283594306415013,0.3029439696106363,5.765191102784844,5.5,5.0,259.4,27
30,30,4,60.0,6324.0,1,2,0,3,0,4,0,3,1,7,0,2,4,6,1927,1950,1,1,8,8,3,0.0,5.0,5.0,0,5.0,5.0,0.0,0.0,0,0.0,0,520,520,1,2.5,0,4,520,0,0,520,0,0,1,0,1,1,2.5,4,6,0,,5,1920.0,2,1,240,2.5,5.0,2,49,0,87,0,0,0,,4,4,0,5,2008,8,4,68500,-1.7557645831411295,0.11021814006888632,11.134589024250317,-0.9282852990706295,0.26261042287386965,8.752107198329362,-1.509720809444034,0.3515625,-1.1125761090324948,0.22792022792022792,5.480638923341991,5.0,5.0,2.0,74
31,70,0,50.0,8500.0,1,1,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,1,3,3,3,0.0,5.0,2.5,0,5.0,5.0,0.0,0.0,0,0.0,0,649,649,1,5.0,0,4,649,668,0,1317,0,0,1,0,3,1,5.0,6,6,0,,5,1920.0,2,1,250,5.0,2.5,0,0,54,172,0,0,0,,2,4,0,7,2008,8,4,40000,-2.2502616582878043,0.01672953911759882,10.596634733096073,-0.26446454517978374,0.3763525168574565,9.047821442478408,-1.7456435414397224,0.296875,-1.0639410864513565,0.23741690408357077,5.521460917862246,4.0,3.75,2.0,74
32,20,3,69.0,8544.0,1,2,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,3,0.0,5.0,5.0,1,5.0,5.0,0.0,0.0,0,0.0,0,1228,1228,1,7.5,1,4,1228,0,0,1228,0,0,1,1,3,1,7.5,6,6,0,,1,1966.0,2,1,271,5.0,5.0,2,0,65,0,0,0,0,,2,4,0,6,2008,8,4,149350,-0.352954459435563,0.37543053960964407,11.914047823644255,-0.2510416990533144,0.3786524489049187,9.052984561199976,-0.19529415975377054,0.65625,-0.9618075390309657,0.2573599240265907,5.602118820879701,5.5,5.0,2.0,18
33,20,3,85.0,11049.0,1,2,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,3,0.0,7.5,5.0,2,10.0,5.0,6.66,0.0,0,0.0,0,1234,1234,1,10.0,1,4,1234,0,0,1234,0,0,2,0,3,1,7.5,7,6,0,,1,2007.0,1,2,484,5.0,5.0,2,0,30,0,0,0,0,,4,4,0,1,2008,8,4,179900,0.1771117035725392,0.47564375922584873,12.100156419938624,0.5131453361013587,0.5095917620615754,9.310095205113175,1.186538984792404,0.9765625,0.07411844194728277,0.459639126305793,6.182084906716632,6.5,6.25,4.332,17
34,20,3,70.0,10552.0,1,2,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,1,3,3,3,0.0,5.0,5.0,1,5.0,5.0,0.0,4.0,1018,0.0,0,380,1398,1,7.5,1,4,1700,0,0,1700,0,1,1,1,4,1,7.5,6,6,1,7.5,1,1959.0,1,2,447,5.0,5.0,2,0,38,0,0,0,0,,4,4,0,4,2010,8,4,165500,-0.07273945018578064,0.4284074134820403,12.016726473799254,0.361528187809194,0.48361298416183157,9.26407069439715,-0.4312168917494589,0.6015625,-0.1058311416029294,0.42450142450142453,6.102558594613569,5.0,5.0,205.6,65
35,120,3,60.0,7313.0,1,2,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,246.0,10.0,5.0,2,10.0,5.0,0.0,10.0,1153,0.0,0,408,1561,1,10.0,1,4,1561,0,0,1561,1,0,2,0,2,1,10.0,6,6,1,7.5,1,2005.0,0,2,556,5.0,5.0,2,203,47,0,0,0,0,,4,4,0,8,2007,8,4,277500,1.870547301267818,0.7958012137116615,12.533576212168626,-0.6265763259097625,0.31430662275887306,8.89740886527095,1.119132489936493,0.9609375,0.4242906045314795,0.5280151946818614,6.320768294250582,7.0,7.5,233.6,19
36,60,3,108.0,13418.0,1,2,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,2,132.0,7.5,5.0,2,10.0,5.0,6.66,0.0,0,0.0,0,1117,1117,1,10.0,1,4,1132,1320,0,2452,0,0,3,1,4,1,7.5,9,6,1,7.5,3,2004.0,0,3,691,5.0,5.0,2,113,32,0,0,0,0,,4,4,0,9,2006,8,4,309000,2.4170967001141426,0.8991307200262424,12.641096555879882,1.235843574137854,0.633422194344258,9.504352368122833,1.0854292425085375,0.953125,1.0808634093768483,0.6562203228869896,6.53813982376767,6.5,6.25,4.332,19
37,20,3,112.0,10859.0,1,2,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,3,0.0,5.0,5.0,2,7.5,5.0,0.0,0.0,0,0.0,0,1097,1097,1,10.0,1,4,1097,0,0,1097,0,0,1,1,3,1,5.0,6,6,0,,1,1995.0,2,2,672,5.0,5.0,2,392,64,0,0,0,0,,4,4,0,6,2009,8,4,145000,-0.4284303288000554,0.3611612268328686,11.884489021402711,0.45518304600978665,0.4996602373111703,9.2927495082169,0.7483967682289827,0.875,0.9884568664726853,0.6381766381766382,6.51025834052315,5.0,5.0,2.5,29
38,20,3,74.0,8532.0,1,2,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,1,13,14,1,650.0,5.0,5.0,1,5.0,5.0,0.0,4.0,1213,0.0,0,84,1297,1,7.5,1,4,1297,0,0,1297,0,1,1,0,3,1,5.0,5,6,1,5.0,1,1954.0,0,2,498,5.0,5.0,2,0,0,0,0,0,0,,4,4,0,10,2009,8,4,153000,-0.2896241322676555,0.38740364113498443,11.938193200374572,-0.25470247526962425,0.37802519471015633,9.05157907959124,-0.5997331288892362,0.5625,0.14220747356087657,0.47293447293447294,6.210600077024653,5.5,5.0,244.6,34
39,20,3,68.0,7922.0,1,2,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,3,0.0,5.0,7.5,1,5.0,5.0,0.0,10.0,731,0.0,0,326,1057,1,5.0,1,4,1057,0,0,1057,1,0,1,0,3,1,7.5,5,6,0,,5,1953.0,2,1,246,5.0,5.0,2,0,52,0,0,0,0,,4,4,0,1,2010,8,0,109000,-1.053058213195855,0.2430703624733475,11.59910316121128,-0.44079193293203967,0.34613977314306626,8.977398978181862,-0.6334363763171917,0.5546875,-1.0833950954838119,0.23361823361823364,5.5053315359323625,6.0,6.25,148.2,17
40,90,3,65.0,6040.0,1,2,3,3,0,4,0,7,2,2,2,2,4,5,1955,1955,1,1,0,10,3,0.0,5.0,5.0,2,5.0,5.0,0.0,0.0,0,0.0,0,0,0,1,5.0,0,2,1152,0,0,1152,0,0,2,0,2,2,2.5,6,6,0,,1,2005.0,2,0,0,5.0,5.0,0,0,0,0,0,0,0,,4,4,0,6,2008,8,1,82000,-1.5215291264927047,0.15450221420370674,11.314474526246391,-1.014923669523295,0.2477654069311589,8.706159290928861,-0.5660298814612807,0.5703125,-2.279816650979817,0.0,-inf,4.5,5.0,2.0,69
